PI,Rep ,2019_Flowering,2020_Flowering ,2019D1,2019D2,2020D1,2020D2,2019_AV.Plant height,2020_AV.Plant height ,AV.AC_Aug14_2019,AV.AC_Aug_28_2019,AV.AC_Aug11-2020,AV.AC_Aug18-2020,AV.2019&2020D1,AV.2019&2020D2,AV.2019
576425,1,54,59,5,8,4,6,90,81.7,833,0,1333,1250,4.5,7,
576425,2,54,59,4,6,7,7,95,85,541,517,1333,750,5.5,6.5,
576426,1,56,62,4,7,5,6,100,71.7,666,0,1167,1500,4.5,6.5,
576426,2,63,69,2,4,3,6,95,88.3,191,8,525,1500,2.5,5,
576428,1,61,64,2,3,2,4,90,90,25,166,1333,1500,2,3.5,
576428,2,61,69,1,4,1,4,95,98.3,33,33,41,1000,1,4,
576434,1,73,NA,2,5,6,7,145,85,33,25,1167,1500,4,6,
576434,2,66,78,2,5,1,6,135,108.3,1000,342,50,1250,1.5,5.5,
576435,1,59,55,1,4,7,8,120,100,366,8,1166,1500,4,6,
576435,2,59,69,1,4,3,7,120,86.7,58,517,1166,1500,2,5.5,
585291,1,59,NA,2,6,3,5,100,91.7,216,0,208,1500,2.5,5.5,
585291,2,54,57,2,2,3,4,95,95,1000,8,349,750,2.5,3,
595699,1,52,51,2,7,8,8,70,58.3,41,0,1333,1000,5,7.5,
595699,2,56,62,2,4,5,5,95,63.3,25,0,1000,1500,3.5,4.5,
595714,1,56,50,3,6,8,8,75,78.3,683,0,1167,750,5.5,7,
595714,2,54,57,4,6,7,7,75,70,533,33,1000,1000,5.5,6.5,
595718,1,45,48,6,9,8,9,90,78.3,833,0,1333,1500,7,9,
595718,2,47,50,6,8,7,8,90,93.3,683,25,1000,750,6.5,8,
595720,1,49,50,7,9,7,8,85,70,683,0,1166,1250,7,8.5,
595720,2,52,52,6,7,5,5,85,75,1000,0,232,1250,5.5,6,
595739,1,61,69,2,4,3,4,90,71.7,183,0,1000,1250,2.5,4,
595739,2,66,69,2,3,5,6,105,93.3,99,74,1333,1500,3.5,4.5,
595740,1,NA,NA,5,8,8,8,85,61.7,833,0,1000,525,6.5,8,
595740,2,NA,83,6,6,3,3,90,68.3,1500,58,191,1500,4.5,4.5,
595741,1,49,55,4,9,3,5,100,96.7,833,0,1000,1000,3.5,7,
595741,2,49,55,4,8,4,4,110,100,366,49,833,750,4,6,
595744,1,54,59,2,5,3,3,125,138.3,500,0,375,1500,2.5,4,
595744,2,59,50,3,5,5,5,105,133.3,516,0,383,750,4,5,
597945,1,52,NA,8,9,NA,NA,75,NA,666,0,NA,NA,8,9,
597945,2,54,NA,3,8,NA,NA,90,NA,833,0,NA,NA,3,8,
597949,1,59,62,2,7,4,7,105,91.7,366,0,1333,750,3,7,
597949,2,59,69,1,4,3,3,115,123.3,33,41,232,1500,2,3.5,
597952,1,56,57,3,5,7,8,70,50,33,8,1000,1000,5,6.5,
