2019 Field,Rep ,2019 Entry,Pedigree,PI Number
3033,2,1687,SAP-340,595699
3034,2,1801,SC 1451,656083
3035,2,1569,tambroro 7,533762
3036,2,1836,IS 13207,264453
3037,2,1709,SAP-386,609456
3038,2,1595,Klor,533910
3039,2,1809,SC 373,656095
3040,2,1684,Ex-Mubi,576434
3041,2,1702,SAP-395,597965
3042,2,1632,A 84,534099
3043,2,1749,90EON328,656011
3044,2,1568,SAP-230,533761
3045,2,1618,Barking 119,533985
3046,2,1769,Jocoro,656039
3047,2,1705,SAP-170,597971
3048,2,1822,SC 1506,656116
3049,2,1728,87T136,655982
3050,2,1838,DZHUGARA BELAYA,550607
3051,2,1565,IS 18684,533758
3052,2,1783,P-721,656055
3053,2,1756,BTx615,656022
3054,2,1785,P898012,656057
3055,2,1737,Deer,655995
3056,2,1624,Brawley,533998
3057,2,1585,Cholia Talijhari,533852
3058,2,1636,EC 21428 SB 63,534108
3059,2,1778,Marupantse,656049
3060,2,1571,SO 16,533785
3061,2,1805,SC 1484,656088
3062,2,1798,SC 1429,656080
3063,2,1603,1903 AS 4633,533936
3064,2,1557,Dwarf Yellow Milo,24969
3065,2,1804,SC 1476,656087
3066,2,1710,KS 115,613536
3067,2,1678,MN 708 (preconvered),576393
3068,2,1782,N'Tenimissa,656054
3069,2,1666,Marupantse,576352
3070,2,1740,Tx2783,656001
3071,2,1672,Mashica,576380
3072,2,1615,Famiola DL/59/1539,533976
3073,2,1644,"R3, 80",534155
