"Taxa","FLoweringtime","nSpad","Log_2019.2020_PH","Log_D1_2019.2020","Log_D2_2019.2020","Log_D1_2019.2020AC","Log_D2_2019.2020AC","GHD","NDVIAug25","NDREAug25","SAVI_Aug25"
"PI576425.C57CTACXX.2.2644",1.76,0,1.94832779,0.78,0.89,3,2.8,9,0.48,0.26,0.13
"PI576426.C57CTACXX.2.2428",1.8,1,1.950890661,0.65,0.83,2.76,2.88,8.3,0.52,0.31,0.14
"PI576428.C57CTACXX.3.3834",1.81,7,1.974570585,0.4,0.68,2.21,2.82,5,0.57,0.39,0.21
"PI576434.MERGE",1.87,0,2.069346124,0.57,0.83,2.75,2.89,9,0.5,0.32,0.2
"PI576435.C57CTACXX.3.3429",1.79,0,2.028725276,0.6,0.83,2.84,2.94,9,0.42,0.33,0.14
"PI585291.C57CTACXX.2.1772",1.76,2,1.983980742,0.54,0.72,2.58,2.73,7.5,0.6,0.3,0.17
"PI595699.C57CTACXX.2.2555",1.75,0,1.853993725,0.72,0.85,2.77,2.79,9,0.32,0.22,0.1
"PI595714.C57CTACXX.3.3563",1.74,0,1.878419442,0.81,0.89,2.93,2.64,9,0.47,0.29,0.19
"PI595718.C57CTACXX.2.2920",1.69,0,1.948863933,0.89,0.98,2.98,2.73,8.8,0.43,0.23,0.1
"PI595720.C57CTACXX.3.3529",1.71,0,1.900392895,0.86,0.92,2.88,2.8,8.9,0.29,0.19,0.13
"PI595739.C57CTACXX.3.3218",1.83,2,1.956930052,0.6,0.72,2.81,2.85,8.1,0.58,0.34,0.22
"PI595740.C57CTACXX.4.5730",1.92,0,1.883156929,0.81,0.86,2.95,2.66,8.9,0.57,0.41,0.25
"PI595741.C57CTACXX.2.2435",1.72,0,2.010958593,0.68,0.88,2.87,2.65,9,0.36,0.18,0.11
"PI595744.C57CTACXX.3.3344",1.75,1,2.099515056,0.63,0.74,2.65,2.73,8.2,0.65,0.39,0.22
"PI597945.C57CTACXX.3.3466",1.73,1,1.919927492,0.81,0.98,2.87,0,8.1,0.29,0.16,0.11
"PI597949.C57CTACXX.3.3620",1.8,0,2.040155833,0.54,0.8,2.53,2.73,9,0.64,0.35,0.31
"PI597952.C57CTACXX.2.2441",1.77,1,1.813480409,0.72,0.86,2.86,2.8,8.8,0.24,0.17,0.09
"PI597957.C57CTACXX.3.3617",1.75,3,1.900025272,0.74,0.89,3.1,2.89,7.6,0.45,0.24,0.12
"PI597958.C57CTACXX.2.1721",1.73,0,1.940363934,0.78,0.88,2.88,2.46,8.9,0.48,0.3,0.15
"PI597961.C57CTACXX.3.3100",1.81,0,1.831544074,0.68,0.85,3.1,2.88,9,0.39,0.36,0.16
"PI597964.C57CTACXX.2.2423",1.83,5,2.013797106,0.44,0.54,2.17,2.43,7,0.52,0.32,0.25
"PI597965.MERGE",1.73,4,1.999985523,0.7,0.9,2.77,2.79,7.4,0.3,0.23,0.08
"PI597966.C57CTACXX.2.2952",1.77,2,1.894759481,0.68,0.93,3.12,2.32,7.6,0.31,0.16,0.1
"PI597968.C57CTACXX.2.3017",1.75,1,2.059472329,0.63,0.92,2.52,1.67,8.5,0.18,0.16,0.07
"PI597971.C57CTACXX.4.4912",1.72,0,1.980378045,0.57,0.78,1.96,2.9,8.8,0.61,0.39,0.26
"PI597973.C57CTACXX.3.3319",1.76,0,1.866739071,0.85,0.92,3.05,2.74,9,0.51,0.3,0.15
"PI597980.MERGE",1.72,1,1.927724841,0.76,0.92,3.07,2.8,8.5,0.45,0.27,0.19
"PI601816.C57CTACXX.2.1647",1.83,0,2.210268499,0.6,0.78,2.84,2.99,8.9,0.52,0.3,0.21
"PI609456.C57CTACXX.4.5670",1.96,1,2.237704904,0.76,0.85,2.97,2.79,8.8,0.49,0.3,0.23
"PI613536.C57CTACXX.8.11153",1.74,2,1.980611789,0.63,0.83,2.76,2.65,8,0.41,0.25,0.13
"PI629034.C57CTACXX.1.1329",1.79,1,1.995195656,0.54,0.7,2.49,2.79,8.4,0.58,0.36,0.2
"PI629040.C57CTACXX.2.2149",1.81,0,1.963003925,0.57,0.78,2.81,2.8,9,0.45,0.37,0.18
